Lost,2023/03/02 10:33:09
Lost,2023/03/02 10:42:48
Lost,2023/03/02 10:45:08
Lost,2023/03/02 10:46:30
Won,2023/03/02 10:48:34
Lost,2023/03/02 10:50:42
Lost,2023/03/02 10:51:42
Won,2023/03/02 12:25:03
Won,2023/03/02 12:25:32
Won,2023/03/02 12:26:00
Won,2023/03/02 12:37:41
Won,2023/03/02 12:38:48
Lost,2023/03/02 12:39:57
Lost,2023/03/02 12:41:05
Lost,2023/03/02 12:41:08
Lost,2023/03/02 12:41:24
Lost,2023/03/02 12:41:38
Lost,2023/03/02 12:41:45
Lost,2023/03/02 12:42:10
Lost,2023/03/02 12:42:45
Lost,2023/03/02 12:42:48
Lost,2023/03/02 12:42:50
Lost,2023/03/02 12:43:56
Won,2023/03/02 12:44:16
Won,2023/03/02 12:47:32
Won,2023/03/02 12:48:38
Won,2023/03/02 12:50:04
Won,2023/03/02 12:51:15
Won,2023/03/02 12:52:59
Won,2023/03/02 12:55:41
Lost,2023/03/02 13:19:27
Won,2023/03/02 14:18:23
Lost,2023/03/02 14:18:52
Won,2023/03/02 14:19:11
